KeyId,ProbsO1,ProbsO2
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.09
X,0.1,NaN
M,0.9,0.81
Z,0.81,NaN
N,0.1,0.01
X,0.01,NaN
M,0.9,0.09
N,0.18,NaN
Z,0.1,0.09
M,0.9,NaN
X,0.1,0.09
N,0.09,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.09
N,0.18,NaN
Z,0.1,0.09
M,0.9,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
N,0.1,0.01
X,0.01,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.09
M,0.09,NaN
Z,0.9,0.09
N,0.09,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
M,0.1,0.09
Z,0.9,NaN
X,0.9,0.09
N,0.09,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.09
N,0.18,NaN
X,0.9,0.81
M,0.9,NaN
N,0.1,0.01
Z,0.01,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.09
Z,0.09,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.09
N,0.09,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.09
X,0.1,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
M,0.1,0.09
X,0.18,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
N,0.1,0.09
X,0.9,NaN
M,0.9,0.81
Z,0.81,NaN
N,0.1,0.09
M,0.09,NaN
Z,0.1,0.09
X,0.09,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.09
X,0.09,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.09
Z,0.1,NaN
X,0.9,0.81
Z,0.81,NaN
M,0.1,0.09
N,0.09,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.09
X,0.09,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.09
N,0.09,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.09
M,0.09,NaN
Z,0.1,0.01
N,0.82,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.09
Z,0.09,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
X,0.1,0.09
N,0.09,NaN
Z,0.9,0.81
M,0.81,NaN
X,0.1,0.09
N,0.09,NaN
Z,0.9,0.81
M,0.81,NaN
X,0.1,0.09
N,0.09,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
M,0.1,0.09
X,0.18,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
N,0.1,0.09
X,0.9,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.09
X,0.1,NaN
M,0.9,0.09
N,0.18,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.09
M,0.1,NaN
X,0.1,0.09
N,0.09,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
M,0.1,0.09
N,0.09,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
X,0.1,0.09
M,0.09,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.09
M,0.1,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.09
N,0.09,NaN
Z,0.9,0.09
X,0.18,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.09
M,0.09,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
Z,0.1,0.09
N,0.18,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
N,0.1,0.09
Z,0.09,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.09
M,0.09,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
Z,0.1,0.09
N,0.18,NaN
X,0.1,0.09
M,0.09,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
M,0.1,0.09
Z,0.9,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.09
M,0.09,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.09
M,0.1,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.81
X,0.81,NaN
M,0.9,0.81
Z,0.81,NaN
X,0.9,0.81
Z,0.81,NaN
N,0.9,0.81
M,0.81,NaN
X,0.9,0.81
N,0.82,NaN
Z,0.9,0.81
M,0.81,NaN
N,0.9,0.09
Z,0.09,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
Z,0.9,0.81
N,0.81,NaN
M,0.9,0.81
X,0.81,NaN
N,0.9,0.81
Z,0.9,NaN
M,0.9,0.81
N,0.82,NaN
X,0.9,0.81
M,0.9,NaN
Z,0.9,0.81
X,0.9,NaN
